repo_name,repo_url,owners,active,has_secrets,has_vars,has_code,migrated,updated_at
"cloud-security-audit","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/cloud-security-audit	","csa-bconnors,mm534 csa-mstein","Yes","No","No","Yes","Yes","2025-08-18T04:19:06Z"
"aws-nasp-prod","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/aws-nasp-prod	","nexon-jvalencia,csa-bconnors","Yes","Yes","Yes","Yes","No","2025-08-27T16:31:52Z"
"npas-security-audit","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/npas-security-audit	","csa-bconnors","Yes","No","No","Yes","No","2025-10-01T02:34:56Z"
"team-super-azure-landing-zone-accelerator","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/team-super-azure-landing-zone-accelerator	","nexon-jvalencia","Yes","Yes","Yes","Yes","Yes","2025-06-12T05:49:12Z"
"masterton-alz","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/masterton-alz	","nexon-jvalencia","Yes","No","Yes","Yes","No","2025-06-03T02:16:54Z"
"team-super-lz","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/team-super-lz	","nexon-jvalencia","Yes","No","Yes","Yes","No","2025-06-03T02:16:34Z"
"NPAS-Backend-Components","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-Backend-Components	","plnexon","Yes","No","No","Yes","No","2025-05-27T00:51:37Z"
"masterton-azure-landing-zone-accelerator","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/masterton-azure-landing-zone-accelerator	","nexon-jvalencia","Yes","Yes","Yes","Yes","No","2025-04-15T03:54:55Z"
"Momentum-Collective-landing-zone-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Momentum-Collective-landing-zone-repo	","dhaval-thakkar-07","Yes","Yes","No","Yes","No","2025-02-21T02:42:01Z"
"Salta-LandingZone-Infra","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/Salta-LandingZone-Infra	","nexon-jvalencia,iyad-aljayousi-nexon","Yes","No","Yes","Yes","No","2025-10-20T11:34:14Z"
"standardised-landingzone-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/standardised-landingzone-repo	","jmnap","Yes","No","No","Yes","Yes","2024-12-06T04:39:38Z"
"handover-landingzone","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/handover-landingzone	","jmnap","Yes","Yes","No","Yes","No","2024-12-05T23:42:01Z"
"madisonmarcus-landingzone-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/madisonmarcus-landingzone-repo	","jmnap,dhaval-thakkar-07","Yes","Yes","No","Yes","No","2024-10-09T23:04:48Z"
"actions-test-azure","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/actions-test-azure	","csa-mstein","Yes","Yes","No","Yes","No","2024-09-26T04:22:23Z"
"cloudzest-landingzone-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/cloudzest-landingzone-repo	","dhaval-thakkar-07","Yes","Yes","No","Yes","Yes","2024-09-11T01:49:30Z"
"migration-terraform-repo","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/migration-terraform-repo	","dhawaldenny","Yes","No","No","Yes","No","2024-07-22T08:25:32Z"
"npas-build-pipeline","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/npas-build-pipeline	","csa-bconnors","Yes","No","No","Yes","No","2024-07-11T07:09:54Z"
"lgaq-aws-remediation","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/lgaq-aws-remediation	","csa-bconnors","Yes","No","No","No","No","2024-07-05T02:28:54Z"
"pitcherpartners_ess_management","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/pitcherpartners_ess_management	","khushalNexon","Yes","No","No","Yes","No","2024-07-04T05:15:08Z"
"CallJourney","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/CallJourney	","Louis-Veridian","Yes","No","No","Yes","No","2024-06-17T04:50:12Z"
"WFMReport","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/WFMReport	","Louis-Veridian","Yes","No","No","Yes","No","2024-06-17T04:47:35Z"
"aws-genesyscloud-lifeblood","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/aws-genesyscloud-lifeblood	","csa-bconnors","Yes","No","Yes","Yes","No","2024-06-12T08:25:24Z"
"NPAS-GUI-AWS-REACT---Customer-Deployment","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/NPAS-GUI-AWS-REACT---Customer-Deployment	","fransiska-nexon,csa-bconnors","Yes","Yes","Yes","Yes","No","2024-06-10T03:38:49Z"
"knowledge-connector-app","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/knowledge-connector-app	","fransiska-nexon","Yes","No","No","Yes","No","2024-05-22T23:10:30Z"
"knowledge-connector-WebScrap-GoLang","https://github.com/Nexon-Asia-Pacific-Pty-Ltd/knowledge-connector-WebScrap-GoLang	","fransiska-nexon","Yes","No","No","Yes","Yes","2024-05-22T22:43:35Z"
